Date,VTI,IUSV,VBR,VEA,VWO,SHV,STIP,AGG,IBND,EMB
2016-04-01,95.8438491821289,38.08425521850586,91.84867095947266,30.28145408630371,29.962182998657227,104.31298065185547,89.71546173095703,96.91609191894531,32.15999221801758,85.93474578857422
2016-04-04,95.44403076171875,37.86025619506836,90.9302749633789,30.21317481994629,29.556116104125977,104.33189392089844,89.77788543701172,97.01255798339844,32.17951202392578,85.91134643554688
2016-04-05,94.5172119140625,37.435855865478516,89.90384674072266,29.64987564086914,29.003189086914062,104.35078430175781,89.67977142333984,97.14411163330078,32.12095642089844,85.68524932861328
2016-04-06,95.55307006835938,37.795413970947266,90.588134765625,30.12782096862793,29.374691009521484,104.35078430175781,89.66193389892578,97.12657165527344,32.169761657714844,85.887939453125
2016-04-07,94.40818786621094,37.36513137817383,89.45364379882812,29.701087951660156,28.76127052307129,104.35078430175781,89.77788543701172,97.33702850341797,32.17951202392578,85.53705596923828
2016-04-08,94.68074798583984,37.57438278198242,90.12894439697266,30.26438331604004,29.26237678527832,104.36024475097656,89.79573059082031,97.24059295654297,32.2868537902832,85.80996704101562
2016-04-11,94.41726684570312,37.53017044067383,90.12894439697266,30.28999137878418,29.651145935058594,104.3413314819336,89.74221801757812,97.31073760986328,32.257564544677734,86.19206237792969
2016-04-12,95.33499908447266,37.945735931396484,91.29944610595703,30.750869750976562,30.109054565429688,104.36024475097656,89.67085266113281,97.15287780761719,32.150238037109375,86.30901336669922
2016-04-13,96.45263671875,38.39371871948242,92.89312744140625,31.237346649169922,30.670631408691406,104.36024475097656,89.67085266113281,97.19673156738281,31.916059494018555,86.6677017211914
2016-04-14,96.4162826538086,38.417293548583984,92.6590347290039,31.271486282348633,30.515117645263672,104.35078430175781,89.54596710205078,97.0301284790039,31.77947235107422,86.77685546875
2016-04-15,96.37084197998047,38.361297607421875,92.96515655517578,31.18614959716797,30.33368492126465,104.35078430175781,89.5905990600586,97.30197143554688,31.906307220458984,86.82362365722656
2016-04-18,97.01597595214844,38.62948989868164,93.41533660888672,31.467788696289062,30.43736457824707,104.36968994140625,89.51026916503906,97.29320526123047,31.92582893371582,86.87042236328125
2016-04-19,97.28858947753906,38.956634521484375,93.9195785522461,32.01401901245117,30.90389633178711,104.36968994140625,89.5994873046875,97.28440856933594,32.12095642089844,87.20571899414062
2016-04-20,97.3885269165039,39.03326416015625,93.91056823730469,32.022552490234375,30.70518684387207,104.36968994140625,89.55487823486328,97.04765319824219,31.945348739624023,87.27588653564453
2016-04-21,96.90695190429688,38.768009185791016,93.01018524169922,31.834775924682617,30.368247985839844,104.36968994140625,89.52810668945312,96.91609191894531,31.886804580688477,86.9639892578125
